trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
64,0,64,0,108.23045580000007,,108.21902330000012,108.23045580000007,109.22993600000018,109.22993600000018,109.73119550000001,down,1,0.4929465000000164,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
65,0,65,0,109.74596250000013,,109.73486520000006,109.74596250000013,110.74530390000018,110.74530390000018,111.29615520000016,down,0,0.5381414999999379,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
66,0,66,0,111.31124610000006,,111.29965260000017,111.31124610000006,112.31045990000007,112.31045990000007,113.48352870000008,up,1,1.0914233000000877,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
67,0,67,0,113.54584100000011,,113.48957410000003,113.54584100000011,114.50031090000016,114.55040729999996,115.41745860000015,up,1,0.9139775000001009,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
68,0,68,0,115.43255870000007,,115.42136140000002,115.43255870000007,116.43184530000008,116.4482567,117.11568729999999,up,0,0.6707707000000482,None,1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
69,0,69,0,117.13097490000018,,117.11924120000003,117.13097490000018,118.13018220000004,118.13018220000004,118.51470590000008,down,1,0.3799374000000171,None,-2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
70,0,70,0,118.52978980000012,,118.51831200000015,118.52978980000012,119.53002060000017,119.53002060000017,119.88019610000015,up,1,0.3462471000000278,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
71,0,71,0,119.8956071,,119.88398240000015,119.8956071,120.89500610000005,120.89500610000005,121.17942200000016,down,0,0.27484479999998257,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
72,0,72,0,121.19503069999996,,121.18351300000018,121.19503069999996,122.19411480000008,122.2103340000001,122.89527350000003,up,1,0.6982888000000003,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
73,0,73,0,122.91039410000008,,122.8999510000001,122.91039410000008,123.90912930000013,123.92555089999996,124.57622480000009,down,0,0.6613518999999997,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
74,0,74,0,124.59156700000017,,124.57973570000013,124.59156700000017,125.5907224,125.5907224,126.39160590000006,up,0,0.7931562000001122,None,1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
75,0,75,0,126.40651530000014,,126.39513230000011,126.40651530000014,127.40584620000004,127.40584620000004,127.82328759999996,down,1,0.40027329999998074,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
76,0,76,0,127.83869660000005,,127.82678080000005,127.83869660000005,128.83806320000008,128.83806320000008,129.67226070000015,up,1,0.8308260999999675,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
77,0,77,0,129.68831090000003,,129.67571040000007,129.68831090000003,130.68681160000006,130.70319640000002,131.28771260000008,up,1,0.5837122000000363,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
78,0,78,0,131.30268790000014,,131.2914181000001,131.30268790000014,132.30181590000007,132.30181590000007,133.05301270000018,down,1,0.7457738999999037,None,1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
79,0,79,0,133.0676625000001,,133.05657900000006,133.0676625000001,134.0671287,134.0671287,134.51814560000003,up,0,0.44066509999993286,None,2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
80,0,80,0,134.53320959999996,,134.52168670000015,134.53320959999996,135.5325147000001,135.5325147000001,136.38304230000017,up,0,0.8375750000000153,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
81,0,81,0,136.39854090000017,,136.38659070000017,136.39854090000017,137.39791520000017,137.41440520000015,137.69886350000002,down,1,0.29422460000000683,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
82,0,82,0,137.71387679999998,,137.70253790000015,137.71387679999998,138.71313840000016,138.71313840000016,138.96473800000012,up,0,0.2487272999999277,None,2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
83,0,83,0,138.97956910000016,,138.9682795000001,138.97956910000016,139.97877200000016,139.97877200000016,140.66280000000006,down,0,0.6731323999999859,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
84,0,84,0,140.67803630000003,,140.6663383,140.67803630000003,141.67738440000016,141.67738440000016,142.06188510000015,up,0,0.38118359999998574,None,1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
