stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
22,5,20.0,27.21797629998764,,27.20853309999802,27.21797629998764,27.717487299989443,27.717487299989443,27.717487299989443,28.01733430000604,29.52356289999443,left,-20.0,1,1,1.7903290999820456,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
23,5,20.0,29.532755099993665,,29.523689699999522,29.532755099993665,30.032474900013767,30.032474900013767,30.032474900013767,30.332167399988975,30.685923999990337,left,-20.0,1,1,0.6372328999859747,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
24,5,20.0,30.69878370000515,,30.686084699991625,30.69878370000515,31.197934600000735,31.197934600000735,31.197934600000735,31.497784200008027,31.85405379999429,right,20.0,1,1,0.6400168999971356,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
25,5,15.0,31.86420690000523,,31.854188900004374,31.86420690000523,32.36357330001192,32.36357330001192,32.36357330001192,32.66264029999729,32.98684590001358,right,15.0,0,0,0.6218460999953095,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
26,5,20.0,32.9964895999874,,32.98698419998982,32.9964895999874,33.49605370001518,33.49605370001518,33.49605370001518,33.79579410000588,34.26878280000528,left,-20.0,1,1,0.7654427000088617,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
27,5,20.0,34.278670800005784,,34.2689102999866,34.278670800005784,34.778590000001714,34.778590000001714,34.778590000001714,35.078506399993785,35.202415800013114,left,-20.0,0,0,0.4084491999819875,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
28,5,20.0,35.21155290000024,,35.2025663999957,35.21155290000024,35.71093010000186,35.71093010000186,35.71093010000186,36.01172680000309,36.06794589999481,right,20.0,0,0,0.35331289999885485,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
29,5,20.0,36.077436099993065,,36.068106899998384,36.077436099993065,36.57714380000834,36.57714380000834,36.57714380000834,36.87650310000754,37.46401200001128,left,-20.0,1,1,0.8814525000052527,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
30,5,20.0,37.47593939999933,,37.464095500006806,37.47593939999933,37.975716499990085,37.975716499990085,37.975716499990085,38.275277500011725,38.51405510000768,left,-20.0,1,1,0.5364765000122134,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
31,5,20.0,38.52504169999156,,38.514156399993226,38.52504169999156,39.0247393999889,39.0247393999889,39.0247393999889,39.32416970000486,39.42910629999824,left,-20.0,1,1,0.39376519998768345,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
32,5,15.0,39.4411170000094,,39.42921239999123,39.4411170000094,39.94148129998939,39.94148129998939,39.94148129998939,40.241112499992596,40.73044350001146,left,-15.0,1,1,0.7744594999821857,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
33,5,15.0,40.740062099997886,,40.73057099999278,40.740062099997886,41.23979769999278,41.23979769999278,41.23979769999278,41.539429099997506,41.72910170000978,left,-15.0,1,1,0.474817999987863,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
34,5,15.0,41.73961540000164,,41.72922869998729,41.73961540000164,42.23878310000873,42.23878310000873,42.23878310000873,42.538625599991065,42.612271299993154,right,15.0,0,0,0.3720133999886457,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
35,5,20.0,42.62182900001062,,42.612418700009584,42.62182900001062,43.12147169999662,43.12147169999662,43.12147169999662,43.4214925999986,43.661306900001364,left,-20.0,1,1,0.5292079000209924,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
36,5,20.0,43.67100959998788,,43.66143929999089,43.67100959998788,44.1707572999876,44.1707572999876,44.1707572999876,44.470949500013376,44.5907686999999,right,20.0,1,1,0.41279130001203157,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
37,5,20.0,44.60335349998786,,44.59085000000778,44.60335349998786,45.10366029999568,45.10366029999568,45.10366029999568,45.403006600012304,45.576493800006574,left,-20.0,1,1,0.4581144000112545,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
38,5,15.0,45.58612729999004,,45.57665760000236,45.58612729999004,46.08607990000746,46.08607990000746,46.08607990000746,46.38560639999923,46.50962490000529,left,-15.0,0,0,0.41446719999657944,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
39,5,20.0,46.51855340000475,,46.509758900007,46.51855340000475,47.018413899990264,47.018413899990264,47.018413899990264,47.3182594999962,47.40833850001218,left,-20.0,1,1,0.3736596000089776,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
40,5,20.0,47.41795339999953,,47.408489699999336,47.41795339999953,47.917476100003114,47.917476100003114,47.917476100003114,48.21733859999222,48.325042400014354,right,20.0,0,0,0.3981662000005599,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
41,5,20.0,48.33435779999127,,48.32520240001031,48.33435779999127,48.8335223000031,48.8335223000031,48.8335223000031,49.13301039999351,49.187309900007676,left,-20.0,1,1,0.3527679000108037,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
42,5,20.0,49.199953500006814,,49.18739539998933,49.199953500006814,49.69897860000492,49.69897860000492,49.71694730001036,,49.95269529998768,right,20.0,1,1,0.24829840002348647,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
43,5,20.0,49.96586009999737,,49.95279129999108,49.96586009999737,50.46587200000067,50.46587200000067,50.46587200000067,,50.60235319999629,left,-20.0,1,1,0.11920710001140833,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
44,5,15.0,50.615236100013135,,50.6024413999985,50.615236100013135,51.11434729999746,51.11434729999746,51.11434729999746,,51.1383344999922,right,15.0,1,1,0.009789300005650148,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
45,5,15.0,51.14758210000582,,51.13846819999162,51.14758210000582,51.64774740001303,51.64774740001303,51.64774740001303,,51.73495310000726,right,15.0,0,0,0.07225019999896176,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
46,5,20.0,51.74741529999301,,51.735040300001856,51.74741529999301,52.247289699997054,52.247289699997054,52.247289699997054,,52.30502679999336,right,20.0,0,0,0.05167650000657886,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
47,5,20.0,52.31406840001,,52.30516129999887,52.31406840001,52.81342550000409,52.81342550000409,52.81342550000409,,52.936569300014526,left,-20.0,1,1,None,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
48,5,20.0,52.946680499997456,,52.9366963999928,52.946680499997456,53.44645320001291,53.44645320001291,53.44645320001291,53.74604550001095,54.10272830000031,left,-20.0,1,1,0.6528173999977298,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
49,5,20.0,54.11289710001438,,54.102857199992286,54.11289710001438,54.61191249999683,54.61191249999683,54.61191249999683,54.91188890000922,55.152578300010646,left,-20.0,1,1,0.5291779000253882,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
