trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
33,0,33,0,63.25670319999995,,63.204778199999964,10,63.25670319999995,63.25670319999995,0.03624649999983376,64.26254969999991,67.78998679999995,[-0.2351851851851852],[0.4777777777777778],[1],[0],[0],[4.549528000000009],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
34,0,34,0,67.81794259999992,,67.79410860000007,5,67.81794259999992,67.81794259999992,0.014670099999875674,68.82132359999991,70.00580369999989,[0.2518518518518518],[-0.33796296296296297],[1],[0],[0],[2.197231699999975],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
35,0,35,0,70.06869000000006,,70.01095779999991,10,70.06869000000006,70.06869000000006,0.040025799999966694,71.0820483,71.71026419999998,[0.3638888888888889],[-0.375],[1],[0],[0],[1.659749500000089],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
36,0,36,0,71.75233129999992,,71.71572339999989,5,71.75233129999992,71.75233129999992,0.02224830000000111,72.75350589999994,73.1213851,[-0.13703703703703704],[-0.30925925925925923],[1],[0],[0],[1.3838920000000599],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
37,0,37,0,73.18274259999998,,73.12567190000004,10,73.18274259999998,73.18274259999998,0.038939900000059424,74.19398499999988,75.43793559999995,[0.040740740740740744],[0.41574074074074074],[1],[0],[0],[2.2737933999999314],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
38,0,38,0,75.47365309999986,,75.44277139999986,5,75.47365309999986,75.47365309999986,0.018887499999891588,76.47246580000001,77.07845789999988,[0.03611111111111111],[0.15462962962962962],[1],[0],[0],[1.6173656999999366],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
39,0,39,0,77.11773689999995,,77.0848489,5,77.11773689999995,77.11773689999995,0.021334099999876344,78.12856859999988,78.56389969999987,[-0.11018518518518519],[-0.31203703703703706],[1],[0],[0],[1.4589482999999746],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
40,0,40,0,78.64618389999987,,78.57021259999988,10,78.64618389999987,78.64618389999987,0.05246710000005805,79.66099409999993,79.88668860000007,[-0.2222222222222222],[0.1935185185185185],[1],[0],[0],[1.2646171000001232],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
41,0,41,0,79.91981699999997,,79.89150049999989,5,79.91981699999997,79.91981699999997,0.01781740000001264,80.92189860000008,81.1569121,[0.16203703703703703],[0.17314814814814813],[1],[0],[0],[1.2480322999999771],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
42,0,42,0,81.1915325,,81.1616446999999,5,81.1915325,81.1915325,0.01786820000006628,82.19186880000007,82.64329980000002,[0.21296296296296297],[-0.32685185185185184],[1],[0],[0],[1.4643906000001152],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
43,0,43,0,82.7021987999999,,82.64766099999997,10,82.7021987999999,82.7021987999999,0.03870819999997366,83.71195680000005,84.08780279999996,[0.011111111111111112],[0.23055555555555557],[1],[0],[0],[1.4020576999998866],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
44,0,44,0,84.12204139999994,,84.09202830000004,5,84.12204139999994,84.12204139999994,0.017868399999997564,85.12276769999994,85.64033549999999,[0.30648148148148147],[0.3425925925925926],[1],[0],[0],[1.5309857999998258],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
45,0,45,0,85.67381460000001,,85.64463550000005,5,85.67381460000001,85.67381460000001,0.01890729999990981,86.67579439999986,87.69275190000008,[0.32592592592592595],[-0.3314814814814815],[1],[0],[0],[2.0297750999998243],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
46,0,46,0,87.72676630000001,,87.69705729999987,5,87.72676630000001,87.72676630000001,0.017825299999913113,88.72824930000002,89.14598720000004,[0.000925925925925926],[0.1037037037037037],[1],[0],[0],[1.4316979000000174],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
47,0,47,0,89.19934119999994,,89.15059689999998,10,89.19934119999994,89.19934119999994,0.03389230000016141,,90.08175979999987,[-0.05462962962962963],[0.11574074074074074],[1],[0],[0],[0.8978257999999641],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
48,0,48,0,90.11722469999995,,90.08637429999999,5,90.11722469999995,90.11722469999995,0.01902339999992364,91.12437769999997,92.29243270000006,[0.22685185185185186],[0.44722222222222224],[1],[0],[0],[2.1873633000000154],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
49,0,49,0,92.36524929999996,,92.30018739999991,10,92.36524929999996,92.36524929999996,0.05116900000007263,93.37038430000007,95.09430389999989,[-0.12314814814814815],[-0.4638888888888889],[1],[0],[0],[2.7441191000000345],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
50,0,50,0,95.16441220000002,,95.09889939999994,10,95.16441220000002,95.16441220000002,0.04581329999996342,96.17582709999988,97.05647269999986,[-0.5046296296296297],[0.20185185185185187],[1],[0],[0],[1.9123656000001574],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
51,0,51,0,97.11864700000001,,97.06081560000007,10,97.11864700000001,97.11864700000001,0.04061589999992066,98.11591479999993,98.23429050000004,[-0.3861111111111111],[0.16296296296296298],[1],[0],[0],[1.1334603000000243],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
