num_distr,mouse.time
10,[1.1384994999998526]
5,[1.4158359000002747]
5,[1.3801468999999997]
10,[1.5514248999998017]
10,[2.0176547999999457]
10,[1.4686998999995922]
10,[1.2678304999999455]
10,[2.2183591000002707]
5,[1.6959992000001876]
10,[2.765876099999332]
10,[2.018389500000012]
5,[1.2973171000003276]
5,[0.9642361000005621]
5,[1.264487299999928]
10,[3.000625800000307]
10,[1.286039499999788]
5,[1.4059247000004689]
5,[1.7043758999998317]
10,[1.603277700000035]
10,[2.1455635000002076]
5,[1.0637888999999632]
10,[1.3840478000001895]
5,[3.196227999999792]
5,[1.9136377999993783]
10,[2.167620600000191]
10,[1.8812434000001304]
5,[3.2635731999998825]
5,[2.72950899999978]
10,[3.8965635999993538]
10,[1.1841658000003008]
10,[2.29239299999972]
5,[1.2976840999999695]
5,[1.0265777000004164]
10,[0.8467233999999735]
5,[1.4865616000006412]
5,[1.095092300000033]
10,[1.0855977999999595]
5,[1.1794935999996596]
5,[1.5303971999992427]
10,[1.1079910999997082]
10,[1.8259452000002057]
10,[1.4382694000005358]
10,[2.4823231999998825]
5,[1.298283099999935]
10,[1.9504105000005438]
10,[1.4876727999999275]
5,[1.6713527000001704]
5,[1.5636586999999054]
5,[1.5806056000001263]
5,[1.4816008999996484]
10,[1.1841425000002346]
10,[1.8011059999998906]
5,[1.297168000000056]
10,[2.600063400000181]
10,[1.766660199999933]
10,[1.2513552999998865]
5,[1.4134579999999914]
10,[0.9168726999996579]
10,[1.0238135999998121]
5,[2.2093785999995816]
5,[1.6790717000003497]
5,[1.0638610000005428]
5,[1.5150032999999894]
10,[1.9839515999992727]
5,[1.2474468000000343]
5,[1.0640763999999763]
10,[2.536926100000528]
5,[1.663404800000535]
5,[1.5483277000003]
10,[2.3725580999998783]
10,[0.8238339000008637]
10,[1.552781800000048]
10,[1.7860073000001648]
5,[1.2572073999999702]
5,[1.0978216000003158]
5,[1.1952940999999555]
10,[2.5038555000000997]
10,[5.032338699999855]
10,[1.622235400000136]
10,[1.6764755999993213]
10,[1.2686159999993833]
5,[1.2638160999995307]
5,[1.2811533999993117]
5,[1.1471099999998842]
5,[1.7977881999995589]
5,[1.512781399999767]
10,[1.632456700000148]
5,[1.9129098000003069]
10,[1.4289294999998674]
10,[1.585891100000481]
5,[1.3994427999996333]
5,[1.2791186000004018]
5,[1.1974718000001303]
10,[1.2026402000001326]
5,[1.3806725999993432]
5,[1.0639605999995183]
10,[2.604219199999534]
5,[1.116052700000182]
5,[1.230340399999477]
5,[1.3976527000004353]
10,[1.4562395000002653]
5,[1.5642394999995304]
5,[1.7625457000003735]
10,[1.6013552000003983]
5,[1.2644249000004493]
10,[1.5660877000000255]
5,[1.3312415000000328]
5,[1.195307999999386]
5,[1.5978291000001263]
10,[2.269883099999788]
5,[1.8295798999997714]
5,[1.7153698000001896]
10,[1.0366471999996065]
10,[1.6213791000000128]
10,[2.1384957999998733]
10,[1.7059355000001233]
5,[1.5790225000000646]
10,[1.8185383000000002]
5,[1.2977498000000196]
10,[0.835351300000184]
5,[1.7297427000003154]
5,[1.7141007999998692]
10,[3.6541601000008086]
5,[1.0641024999995352]
10,[1.5017516999996587]
10,[1.3854523999998491]
5,[1.5964845999997124]
10,[2.3975282000001243]
5,[1.3937237000000096]
5,[2.5475046000001385]
10,[5.408495599999696]
10,[1.3171351000000868]
5,[1.4475005000003875]
5,[1.7654484000004231]
10,[3.8982146999996985]
5,[1.1665992000007464]
10,[1.513336099999833]
5,[1.7784113999996407]
10,[2.151984799999809]
5,[2.579183699999703]
10,[3.171190199999728]
10,[1.2788880999996763]
10,[0.9665139000007912]
5,[0.9987839999994321]
10,[1.2843352999998388]
10,[1.4183916000001773]
10,[1.3618904000004477]
5,[1.1747135000005073]
5,[1.0314595999998346]
10,[1.5020206999997754]
10,[1.670828100000108]
5,[0.9477742999997645]
10,[0.7642703999999867]
5,[1.546539699999812]
5,[3.6633123000001433]
5,[3.912129900000764]
10,[2.0016630000000077]
5,[2.6627893000004406]
5,[1.648096599999917]
10,[1.6959907000000385]
5,[1.59685300000001]
5,[1.230385799999567]
10,[2.2888907999995354]
10,[4.232063399999788]
5,[2.1627842999996574]
5,[1.9776907999994364]
10,[1.9433418000007805]
5,[1.4436986000000616]
10,[2.7537444999998115]
10,[1.4875728999995772]
10,[1.85223330000008]
10,[2.7541182000004483]
10,[2.028041700000358]
5,[1.652310800000123]
5,[1.7355489999999918]
5,[1.9268049000002065]
5,[2.175657499999943]
5,[2.030664500000057]
5,[1.5806870000005802]
5,[2.0636868999999933]
10,[4.232837700000346]
5,[1.4147494999997434]
5,[1.8293194999996558]
10,[0.1784907999999632]
5,[2.1003756999998586]
5,[2.2944635000003473]
5,[1.6630239999994956]
10,[1.422071799999685]
5,[2.0798075000002427]
5,[2.4161567999999534]
10,[1.835737600000357]
5,[2.146736400000009]
10,[4.77190150000024]
10,[1.686126200000217]
10,[3.3093055000008462]
10,[2.0228706999996575]
5,[4.010795000000144]
5,[3.5613157999996474]
10,[1.4988928000002488]
5,[2.3159821999997803]
5,[2.096617199999855]
5,[1.6455112999992707]
10,[3.1874964999997246]
5,[1.6641198000006625]
5,[0.8767737999996825]
10,[2.25632829999995]
10,[2.1246227000001454]
5,[1.7493336999996245]
10,[2.341388100000586]
5,[1.5552511000005325]
10,[1.7166913000000932]
5,[1.8541923999991923]
10,[3.0826477000000523]
5,[2.5921895000001314]
10,[2.3485202000001664]
5,[1.3960643000000346]
10,[1.3755746000006184]
10,[1.8031640999997762]
10,[3.108640800000103]
5,[1.8286914999998771]
5,[2.0945184999991397]
5,[2.1139038999999684]
5,[1.557547400000658]
5,[1.56414390000009]
5,[2.1111658999998326]
5,[1.546790499999588]
10,[2.2254197000002023]
5,[1.8792758999998114]
5,[1.296317100000124]
10,[2.6437130999993315]
10,[1.5026183999998466]
10,[1.9442106999995303]
10,[2.7720768999997745]
10,[2.4261294000007183]
10,[2.0142126999999164]
10,[1.6047928000007232]
10,[2.2227646000001187]
5,[1.4334515000000465]
10,[2.4540394999994533]
10,[2.666860700000143]
10,[3.2200506999997742]
5,[1.5292427999993379]
5,[1.1633052999995925]
5,[1.7115552000004755]
10,[1.6794411999999284]
5,[2.2782555000003413]
10,[1.3949923999998646]
10,[2.9590018999997483]
5,[1.5101852999996481]
10,[1.6681753000002573]
5,[1.3962590000001]
10,[0.943908499999452]
5,[2.364005200000065]
5,[5.110745599999973]
5,[5.075969399999849]
10,[1.6925943000005645]
5,[1.7544797999998991]
10,[1.4122537000002922]
5,[1.2906099000001632]
10,[1.9408008000000336]
10,[1.856894000000466]
10,[1.8164516999995612]
5,[2.444279999999708]
5,[2.3117442000002484]
5,[2.4285087999996904]
5,[1.7305372000000716]
5,[1.7660452000000078]
10,[1.7093505000002551]
10,[2.144325299999764]
10,[2.8244495999997525]
10,[2.127532400000746]
10,[3.115050400000655]
10,[1.7552533000007315]
5,[2.096741800000018]
5,[1.6802895999999237]
5,[1.4308507000005193]
5,[1.6124539000002187]
5,[1.6637956000004124]
5,[2.4280266999994637]
5,[1.5133217000002332]
10,[1.9847185999997237]
10,[2.3232898999995086]
5,[2.9283291000001554]
5,[2.4628124000000753]
5,[1.6803293000002668]
10,[3.8346498000000793]
10,[2.350194399999964]
10,[2.777171300000191]
5,[2.124721600000157]
10,[1.8267836000004536]
5,[1.7459761000000071]
10,[2.578278699999828]
5,[2.045769699999255]
10,[3.200778600000376]
5,[2.244260200000099]
10,[1.7774500999994416]
5,[1.362688199999866]
5,[1.4293766000000687]
5,[1.1477383999999802]
10,[3.148630400000002]
10,[1.733490200000233]
10,[1.9597453000005771]
10,[2.5451414999997723]
10,[1.8795637000002898]
10,[1.806845500000236]
