participant 1,reward_today,future_reward,delay,key_resp.keys,k,,participant 2,reward_today,future_reward,delay,key_resp.keys,k,,participant 3,reward_today,future_reward,delay,key_resp.keys,k,,participant 4,reward_today,future_reward,delay,key_resp.keys,k,
,27,50,21,t,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,t,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,l,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,t,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,t,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,l,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,t,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,t,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,t,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,t,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,t,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,l,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,l,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,l,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,l,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,l,1.461538462,,,15,35,13,l,1.538461538,
