key_resp.corr,key_resp.rt,,,seqRT,ranRT,,,
0,0.33567,,,0.33567,0.9650108,,,
0,0.5643936,,,0.5643936,0.3908941,,,
0,0.3822702,,,0.3822702,0.4530605,,,
1,0.2977132,,,0.2977132,1.7621386,,,
0,1.0405732,,,1.0405732,1.9399037,,,
0,0.2540367,,,0.2540367,1.0534476,,,
0,0.2768479,,,0.2768479,2.0407929,,,
1,0.3687225,,,0.3687225,1.0991527,,,
0,0.50889,,,0.50889,1.03319,,,
0,0.769418,,,0.769418,2.3492448,,,
0,0.3889761,,,0.3889761,1.6413134,,,
1,0.3378602,,,0.3378602,0.821314,,,
0,0.7890901,,,,,,,
0,1.2423072,,,,,,,
1,1.0536953,,,,,,,
0,2.2852241,,,,,,,
0,1.4270561,,,,,,,
0,0.905589,,,,,,,
0,0.5243575,,,,,,,
0,0.644166,,,,,,,
1,0.6745816,,,,,,,
0,3.8740893,,,,,,,
0,0.8435586,,,,,,,
1,1.0760838,,,,,,,
1,1.6227092,,,,,,,
0,0.9826799,,,,,,,
0,1.5822766,,,,,,,
1,0.6719687,,,,,,,
1,0.7438057,,,,,,,
1,0.782818,,,,,,,
0,1.4573194,,,,,,,
0,0.6138177,,,,,,,
0,0.838036,,,,,,,
0,0.5063723,,,,,,,
1,0.8722501,,,,,,,
0,1.0250008,,,,,,,
0,0.7511318,,,,,,,
0,0.7699512,,,,,,,
0,1.5812148,,,,,,,
0,1.0649789,,,,,,,
0,1.23585,,,,,,,
0,0.8142017,,,,,,,
1,1.4726145,,,,,,,
0,2.3752697,,,,,,,
1,1.7459691,,,,,,,
0,1.0071477,,,,,,,
0,1.3876884,,,,,,,
0,1.4302347,,,,,,,
0,0.5488964,,,,,,,
0,0.9735579,,,,,,,
0,1.8228367,,,,,,,
0,1.4296513,,,,,,,
0,0.6757747,,,,,,,
0,1.2010043,,,,,,,
0,0.2336871,,,,,,,
0,1.003339,,,,,,,
0,0.7337589,,,,,,,
0,0.554299,,,,,,,
0,0.8762742,,,,,,,
1,0.8957421,,,,,,,
1,1.3826023,,,,,,,
1,0.5814867,,,,,,,
0,1.1455149,,,,,,,
1,0.6137729,,,,,,,
1,0.5590316,,,,,,,
0,0.7665291,,,,,,,
0,1.5133394,,,,,,,
1,0.8896395,,,,,,,
1,1.041362,,,,,,,
0,1.2228586,,,,,,,
0,0.7330008,,,,,,,
0,1.7285834,,,,,,,
0,0.9092851,,,,,,,
0,0.89722,,,,,,,
1,1.1320381,,,,,,,
1,0.8776033,,,,,,,
0,1.6619635,,,,,,,
1,1.2734767,,,,,,,
1,0.5528081,,,,,,,
0,0.7831573,,,,,,,
0,1.4334215,,,,,,,
1,1.0797321,,,,,,,
0,1.0351983,,,,,,,
1,1.5433531,,,,,,,
0,1.3643914,,,,,,,
0,1.4196831,,,,,,,
1,1.0968017,,,,,,,
1,0.5525177,,,,,,,
0,0.8423152,,,,,,,
0,0.4343454,,,,,,,
0,0.7722556,,,,,,,
1,1.0175621,,,,,,,
1,0.5802549,,,,,,,
1,0.6830109,,,,,,,
0,1.8563756,,,,,,,
0,2.5913259,,,,,,,
0,1.1201003,,,,,,,
0,1.0962773,,,,,,,
0,2.0708313,,,,,,,
0,1.036545,,,,,,,
0,0.4630975,,,,,,,
0,1.8744025,,,,,,,
0,0.8246193,,,,,,,
1,2.0325358,,,,,,,
0,1.1399263,,,,,,,
0,1.384461,,,,,,,
0,3.3278223,,,,,,,
0,1.4647631,,,,,,,
1,0.833369,,,,,,,
1,0.3841796,,,,,,,
0,2.9590006,,,,,,,
1,2.9398125,,,,,,,
0,1.0225672,,,,,,,
0,1.279233,,,,,,,
1,1.2190448,,,,,,,
1,0.7146142,,,,,,,
1,1.1806404,,,,,,,
0,1.2985788,,,,,,,
0,0.7525229,,,,,,,
0,0.8625763,,,,,,,
0,0.7209638,,,,,,,
1,0.8327012,,,,,,,
0,1.0708058,,,,,,,
0,1.6091933,,,,,,,
1,0.6766589,,,,,,,
0,0.9033203,,,,,,,
0,0.9579159,,,,,,,
0,0.5922151,,,,,,,
1,0.8422969,,,,,,,
1,2.1796901,,,,,,,
0,1.819906,,,,,,,
0,1.0336032,,,,,,,
0,2.3137784,,,,,,,
0,1.5730298,,,,,,,
0,1.0962071,,,,,,,
0,1.6082845,,,,,,,
0,1.5074358,,,,,,,
0,2.2076533,,,,,,,
0,1.1641987,,,,,,,
0,1.125937,,,,,,,
0,1.0105996,,,,,,,
0,0.6972884,,,,,,,
0,1.0338628,,,,,,,
0,0.9033149,,,,,,,
0,0.9526396,,,,,,,
0,0.9061445,,,,,,,
0,1.1028607,,,,,,,
0,1.0062271,,,,,,,
0,0.7233131,,,,,,,
0,1.1078839,,,,,,,
0,1.4108838,,,,,,,
1,0.8059435,,,,,,,
1,0.9882452,,,,,,,
1,1.9354145,,,,,,,
0,2.4519238,,,,,,,
0,1.4362087,,,,,,,
0,1.6997637,,,,,,,
0,1.7206491,,,,,,,
0,0.9611445,,,,,,,
0,2.2354917,,,,,,,
1,1.1804786,,,,,,,
1,0.7411464,,,,,,,
0,2.7046557,,,,,,,
0,1.1826877,,,,,,,
0,3.8552235,,,,,,,
0,1.2962044,,,,,,,
0,0.8054694,,,,,,,
0,2.0475183,,,,,,,
0,4.0201633,,,,,,,
0,1.1118584,,,,,,,
0,0.9502062,,,,,,,
0,0.7428066,,,,,,,
1,1.0796226,,,,,,,
1,0.7597285,,,,,,,
0,1.3131314,,,,,,,
1,0.6739182,,,,,,,
0,1.1278149,,,,,,,
0,0.8362398,,,,,,,
0,1.1986847,,,,,,,
0,1.5386836,,,,,,,
0,0.995302,,,,,,,
0,0.8656768,,,,,,,
0,1.1967311,,,,,,,
0,2.6569703,,,,,,,
1,1.8743469,,,,,,,
0,3.233266,,,,,,,
1,1.3086654,,,,,,,
0,1.4017604,,,,,,,
0,1.3339513,,,,,,,
0,0.5734269,,,,,,,
1,3.0980865,,,,,,,
0,1.8414296,,,,,,,
0,1.1795784,,,,,,,
1,0.8824798,,,,,,,
0,0.7483322,,,,,,,
1,0.6381962,,,,,,,
1,0.7974352,,,,,,,
0,0.781637,,,,,,,
0,1.0270839,,,,,,,
0,0.416536,,,,,,,
0,0.9650108,,,,,,,
0,0.3908941,,,,,,,
